stock_name,date,price,PE_ratio,PEG_ratio,market cap,,,,,,,,,interest rate
BBCA,1/1/2016,2600,18.46,1.18,,,,,,,,,,
BBCA,2/1/2016,2645,18.46,1.18,,,,,,,,,,
BBCA,3/1/2016,2715,18.57,2,,,,,,,,,,
BBCA,4/1/2016,2665,18.23,1.96,,,,,,,,,,
BBCA,5/1/2016,2625,17.52,1.87,,,,,,,,,,
BBCA,6/1/2016,2635,17.59,1.89,,,,,,,,,,
BBCA,7/1/2016,2700,17.65,1.9,,,,,,,,,,
BBCA,8/1/2016,3000,19.44,2.01,,,,,,,,,,
BBCA,9/1/2016,3000,19.41,2.09,,,,,,,,,,
BBCA,10/1/2016,3190,20.64,2.22,,,,,,,,,,
BBCA,11/1/2016,2935,18.61,2,,,,,,,,,,
BBCA,12/1/2016,2935,18.29,1.97,,,,,,,,,,
BBCA,1/1/2017,3140,19.57,2.1,,,,,,,,,,
BBCA,2/1/2017,3090,19.26,2.07,,,,,,,,,,
BBCA,3/1/2017,3100,19.32,2.07,,,,,,,,,,
BBCA,4/1/2017,3300,19.83,1.38,,,,,,,,,,
BBCA,5/1/2017,3500,20.78,1.45,,,,,,,,,,
BBCA,6/1/2017,3545,20.72,1.44,,,,,,,,,,
BBCA,7/1/2017,3700,21.22,1.48,,,,,,,,,,
BBCA,8/1/2017,3785,21.64,1.51,,,,,,,,,,
BBCA,9/1/2017,3775,21.58,1.5,,,,,,,,,,
BBCA,10/1/2017,4000,23.27,1.62,,,,,,,,,,
BBCA,11/1/2017,4200,23.2,1.62,,,,,,,,,,
BBCA,12/1/2017,4160,22.98,1.6,,,,,,,,,,
BBCA,1/1/2018,4380,24.19,1.68,,,,,,,,,,
BBCA,2/1/2018,4760,26.29,1.83,,,,,,,,,,
BBCA,3/1/2018,4500,25.27,1.76,,,,,,,,,,
BBCA,4/1/2018,4660,24.64,1.88,,,,,,,,,,
BBCA,5/1/2018,4400,22.79,1.74,,,,,,,,,,
BBCA,6/1/2018,4585,23.72,1.81,,,,,,,,,,
BBCA,7/1/2018,4245,21.96,1.67,,,,,,,,,,
BBCA,8/1/2018,4760,24.25,1.85,,,,,,,,,,
BBCA,9/1/2018,4995,25.24,1.92,,,,,,,,,,
BBCA,10/1/2018,4790,24.4,1.86,,,,,,,,,,
BBCA,11/1/2018,4835,23.86,1.82,,,,,,,,,,
BBCA,12/1/2018,5160,25.47,1.94,,,,,,,,,,
BBCA,1/1/2019,5240,25.86,1.97,,,,,,,,,,
BBCA,2/1/2019,5500,27.15,2.07,,,,,,,,,,
BBCA,3/1/2019,5540,27.34,2.08,,,,,,,,,,
BBCA,4/1/2019,5545,26.22,2.4,,,,,,,,,,
BBCA,5/1/2019,5620,26.23,2.4,,,,,,,,,,
BBCA,6/1/2019,5880,27.17,2.49,,,,,,,,,,
BBCA,7/1/2019,6000,28.01,2.57,,,,,,,,,,
BBCA,8/1/2019,6165,27.84,2.55,,,,,,,,,,
BBCA,9/1/2019,6000,27.1,2.48,,,,,,,,,,
BBCA,10/1/2019,6040,27.28,2.5,,,,,,,,,,
BBCA,11/1/2019,6275,27.37,2.51,,,,,,,,,,
BBCA,12/1/2019,6425,28.02,2.57,,,,,,,,,,
BBCA,1/1/2020,6690,29.18,2.67,,,,,,,,,,
BBCA,2/1/2020,6440,28.08,2.57,,,,,,,,,,
BBCA,3/1/2020,6080,26.24,2.5,,,,,,,,,,
BBCA,4/1/2020,5480,23.65,2.26,,,,,,,,,,
BBCA,5/1/2020,5220,22.53,2.15,,,,,,,,,,
BBCA,6/1/2020,5360,22,2.1,,,,,,,,,,
BBCA,7/1/2020,5800,24.58,2.35,,,,,,,,,,
BBCA,8/1/2020,6130,27.04,2.58,,,,,,,,,,
BBCA,9/1/2020,6520,28.76,2.74,,,,,,,,,,
