stock_name,date,price,PE_ratio,PEG_ratio
BNGA,1/1/2016,580,48.78,-1.08
BNGA,2/1/2016,600,48.38,-1.07
BNGA,3/1/2016,580,34.07,-0.42
BNGA,4/1/2016,565,33.19,-0.41
BNGA,5/1/2016,545,22.32,-0.27
BNGA,6/1/2016,496,20.31,-0.25
BNGA,7/1/2016,610,25.18,-0.31
BNGA,8/1/2016,1055,26.72,-0.33
BNGA,9/1/2016,770,19.59,-0.24
BNGA,10/1/2016,900,22.9,-0.28
BNGA,11/1/2016,925,15.91,-0.19
BNGA,12/1/2016,835,14.36,-0.17
BNGA,1/1/2017,835,14.36,-0.18
BNGA,2/1/2017,1030,17.8,-0.21
BNGA,3/1/2017,985,11.89,0.03
BNGA,4/1/2017,1095,13.22,0.03
BNGA,5/1/2017,1300,15.33,0.04
BNGA,6/1/2017,1270,13.01,0.03
BNGA,7/1/2017,1230,12.6,0.03
BNGA,8/1/2017,1285,11.85,0.03
BNGA,9/1/2017,1360,12.54,0.03
BNGA,10/1/2017,1290,11.89,0.03
BNGA,11/1/2017,1235,10.42,0.03
BNGA,12/1/2017,1205,10.16,0.03
BNGA,1/1/2018,1365,11.51,0.03
BNGA,2/1/2018,1425,12.02,0.03
BNGA,3/1/2018,1330,11.22,0.03
BNGA,4/1/2018,1190,10.04,0.23
BNGA,5/1/2018,1005,7.79,0.18
BNGA,6/1/2018,1100,8.53,0.2
BNGA,7/1/2018,935,7.25,0.17
BNGA,8/1/2018,1015,7.87,0.18
BNGA,9/1/2018,880,6.57,0.15
BNGA,10/1/2018,925,6.91,0.16
BNGA,11/1/2018,870,6.48,0.15
BNGA,12/1/2018,885,6.6,0.15
BNGA,1/1/2019,970,6.82,0.16
BNGA,2/1/2019,1140,8.5,0.2
BNGA,3/1/2019,1195,8.62,0.51
BNGA,4/1/2019,1070,7.72,0.46
BNGA,5/1/2019,1055,7.47,0.44
BNGA,6/1/2019,970,6.76,0.4
BNGA,7/1/2019,1120,7.93,0.47
BNGA,8/1/2019,1080,7.65,0.45
BNGA,9/1/2019,1025,7.26,0.43
BNGA,10/1/2019,965,6.57,0.39
BNGA,11/1/2019,975,6.87,0.41
BNGA,12/1/2019,950,6.69,0.39
BNGA,1/1/2020,965,6.79,0.4
BNGA,2/1/2020,880,6.2,0.37
BNGA,3/1/2020,760,5.24,1.12
BNGA,4/1/2020,675,4.65,0.99
BNGA,5/1/2020,620,4.27,0.91
BNGA,6/1/2020,675,4.35,0.93
BNGA,7/1/2020,735,4.92,1.05
BNGA,8/1/2020,750,5.52,1.18
BNGA,9/1/2020,830,6.11,1.31
BNGA,10/1/2020,735,5.41,1.16
BNGA,11/1/2020,750,5.52,1.18
BNGA,12/1/2020,850,7.55,1.61
BNGA,1/1/2021,1010,8.97,1.92
BNGA,2/1/2021,895,7.95,1.7
BNGA,3/1/2021,1035,12.93,-0.29
BNGA,4/1/2021,1045,12.86,-0.29
BNGA,5/1/2021,995,12.8,-0.29
BNGA,6/1/2021,985,12.67,-0.28
BNGA,7/1/2021,905,11.53,-0.26
BNGA,8/1/2021,980,10.26,-0.23
BNGA,9/1/2021,1010,10.58,-0.24
BNGA,10/1/2021,995,10.42,-0.23
BNGA,11/1/2021,1080,8.23,-0.18
BNGA,12/1/2021,985,7.5,-0.17
BNGA,1/1/2022,970,7.39,-0.16
BNGA,2/1/2022,950,7.24,-0.16
BNGA,3/1/2022,1050,6.44,0.06
BNGA,4/1/2022,1120,6.86,0.07
BNGA,5/1/2022,1040,6.23,0.06
BNGA,6/1/2022,1050,6.14,0.06
BNGA,7/1/2022,1000,5.85,0.06
BNGA,8/1/2022,1040,5.81,0.06
BNGA,9/1/2022,1150,6.42,0.06
BNGA,10/1/2022,1065,5.94,0.06
BNGA,11/1/2022,1145,6,0.06
BNGA,12/1/2022,1200,6.29,0.06
BNGA,1/1/2023,1165,6.11,0.06
BNGA,2/1/2023,1225,6.42,0.06
BNGA,3/1/2023,1220,6.08,0.28
BNGA,4/1/2023,1300,6.48,0.3
BNGA,5/1/2023,1245,5.76,0.28
BNGA,6/1/2023,1445,6.67,0.33
BNGA,7/1/2023,1620,7.5,0.37
BNGA,8/1/2023,1780,7.79,0.34
BNGA,9/1/2023,1690,7.4,0.32
BNGA,10/1/2023,1690,7.4,0.32
BNGA,11/1/2023,1745,7.19,0.31
